drinks			12
kaffi	coffee	커피
hraunrennsli	lava flow	흐르는 용암
snjóstormur	blizzard	눈보라
þrumuveður	thunderstorm	뇌우
hvirfilbylur	hurricane	허리케인
loftsteinahrap	meteor impact	유성 충돌
flóttamaður	refugee	난민
hitabylgja	heat wave	혹서
hungursneyð	famine	기근
ég hníg niður	I collapse	저는 쓰러져요
ég hleyp í skjól	I run for cover	저는 몸을 숨기기 위해 뛰어요
ég bjarga	I rescue	저는 구해요
more_sea_animals			18
kórall	coral	산호
sæskjaldbaka	sea turtle	바다거북
ígulker	sea urchin	성게
selur	seal	물개
rostungur	walrus	바다코끼리
sæotur	sea otter	해달
áll	eel	장어
rækja	shrimp	새우
stingskata	stingray	가오리
kræklingur	mussel	홍합
skel	clam	조개
ígulfiskur	pufferfish	복어
háhyrningur	orca	범고래
túnfiskur	tuna	참치
sleggjuháfur	hammerhead shark	귀상어
manata	manatee	해우
ég fiska	I fish	저는 낚시해요
ég rís	I rise	저는 일어나요
relations			11
yfirmaður	boss	보스
foreldrar	parents	부모님
fjölskylda	family	가족
faðir	father	아버지
kærasta	girlfriend	여자친구
afi	grandfather	할아버지
amma	grandmother	할머니
börn	children	아이들
móðir	mother	어머니
kærasti	boyfriend	남자친구
ég hlusta	I listen	저는 들어요
health			17
sjúkrabíll	ambulance	구급차
plástur	band-aid	밴드
farði	makeup	메이크업
hárbursti	hairbrush	빗
svimi	dizzy	어지러움
hósti	cough	기침
hiti	fever	열
hausverkur	headache	두통
lyf	medicine	약
klósett	toilet	화장실
tannpína	toothache	치통
tannbursti	toothbrush	칫솔
tannkrem	toothpaste	치약
handklæði	towel	수건
sápa	soap	비누
ég baða mig	I bathe	저는 목욕해요
ég fer í sturtu	I take a shower	저는 샤워를 해요
body			17
líkami	body	몸
höfuð	head	머리
hár	hair	머리카락
andlit	face	얼굴
eyru	ears	귀
augu	eyes	눈
nef	nose	코
munnur	mouth	입
tönn	tooth	이
varir	lips	입술
hönd	hand	손
fingur	finger	손가락
nögl	nail	손톱
fótur	foot	발
ég berst	I fight	저는 싸워요
ég hoppa	I jump	저는 점프해요
ég hleyp	I run	저는 달려요
emotions			17
reiður	angry	화난
leiðist	bored	지루한
rólegur	calm	차분한
óður	crazy	미친
vonsvikin	disappointed	실망한
mér býður við þessu	disgusted	역겨워하는
spenntur	excited	흥분한
hræddur	frightened	겁먹은
geðvondur	grumpy	성격이 나쁜
hamingjusamur	happy	행복한
ástfangin	in love	사랑에 빠진
kvíðinn	nervous	긴장한
afslappaður	relaxed	느긋한
úthvíldur	rested	피로가 풀린
sorgmæddur	sad	슬픈
undrandi	surprised	놀란
þreyttur	tired	피곤한
body_parts			17
ökkli	ankle	발목
handleggur	arm	팔
skegg	beard	수염
bein	bone	뼈
heili	brain	뇌
olnbogi	elbow	팔꿈치
hjarta	heart	심장
hæll	heel	발뒤꿈치
hné	knee	무릎
fótleggur	leg	다리
yfirvaraskegg	moustache	콧수염
vöðvi	muscle	근육
beinagrind	skeleton	해골
húð	skin	피부
hryggur	spine	척추
magi	stomach	위
mér blæðir	I bleed	저는 피가 나요
sleep			17
vekjaraklukka	alarm clock	알람 시계
rimlagardínur	blinds	블라인드
koja	bunk bed	이층 침대
draumur	dream	꿈
hengirúm	hammock	해먹
rakatæki	humidifier	가습기
svefnleysi	insomnia	불면증
blundur	nap	낮잠
nótt	night	밤
martröð	nightmare	악몽
náttborð	nightstand	침실용 탁자
svefngríma	sleep mask	수면 마스크
svefnganga	sleep walking	몽유병
að sofa	sleeping	자고 있는
svefnpilla	sleeping pill	수면제
hrotur	snoring	코고는 소리
geispi	yawn	하품
baby			17
barnapeli	baby bottle	젖병
barnarúm	baby crib	아기 침대
hringla	baby rattle	딸랑이
barnastóll	bouncer	유아용 좌석
smekkur	bib	턱받이
fæðing	birth	탄생
brjóstagjöf	breastfeeding	모유 수유
getnaðarvörn	contraceptive	피임약
bleyja	diaper	기저귀
bleyjuskipti	diaper change	기저귀 교체
fóstur	fetus	태아
ég skríð	I crawl	저는 기어요
ég græt	I cry	저는 울어요
snuð	pacifier	고무젖꼭지
koppur	potty	유아용 변기
meðganga	pregnancy	임신
tvíburar	twins	쌍둥이
marriage			17
blómvöndur	bouquet	부케
brúður	bride	신부
skilnaður	divorce	이혼
brúðgumi	groom	신랑
brúðkaupsferð	honeymoon	신혼여행
ég spyr	I ask	저는 물어봐요
ég gef	I give	저는 줘요
bónorð	proposal	프로포즈
einhleypur	single	독신인
að skála	toast	건배
brúðarterta	wedding cake	웨딩케이크
kaupmáli	wedding contract	결혼 서약
brúðkaupsdagur	wedding day	결혼식 날
brúðarkjóll	wedding dress	웨딩드레스
brúðkaupsgjöf	wedding gift	결혼 선물
brúðkaupsboðskort	wedding invitation	청첩장
giftingarhringur	wedding ring	결혼 반지
oral_care			17
svæfingarlyf	anesthetic	마취제
spangir	braces	치아 교정기
hola í tönn	cavity	충치
gervitennur	denture	틀니
rafmagnstannbursti	electric toothbrush	전동칫솔
tannþráður	floss	치실
tannþræðing	flossing	치실하다
gómur	gum	잇몸
munnskol	mouthwash	가글액
rótfylling	root canal treatment	뿌리 신경 치료
tannbrú	teeth bridge	부분 의치
tannhvíttun	teeth whitening	치아미백제
ég fylli	I fill	저는 채워요
króna	tooth crown	치관
tannborun	tooth drilling	치아를 깎다
tannúrtaka	tooth extraction	발치
tannfylling	tooth implant	임플란트
more_sleep			18
eyrnatappar	ear plugs	귀마개
heilsukoddi	neck pillow	목베개
vagga	cradle	요람
drómasýki	narcolepsy	기면증
dasaður	groggy	비몽사몽
hitateppi	heated blanket	전기담요
koddaver	pillow case	베갯잇
svefnsófi	sofa bed	소파침대
barnarúm	cot	아기 침대
garðstóll	lawn chair	접이식 의자
ilmstrá	diffuser	디퓨저
myrkvunargardínur	black out curtains	암막 커튼
höfuðgafl	headboard	머리판
svefnganga	sleepwalk	몽유병
snústakki	snooze button	스누즈 버튼
rúmhandrið	bed rails	침대 난간
ég hrýt	I snore	저는 코를 골아요
ég sef yfir mig	I oversleep	저는 늦잠을 자요
tales			18
hirðfífl	jester	어릿광대
tröll	troll	트롤
risi	giant	거인
varúlfur	werewolf	늑대인간
hetja	hero	영웅
skúrkur	villain	악당
bölvun	curse	저주
sögubók	storybook	이야기 책
kentár	centaur	켄타우로스
kýklópi	cyclops	키클롭스
snjómaður	yeti	예티
púki	demon	악마
pegasus	pegasus	페가수스
kvenhetja	heroine	여자 영웅
brynja	armor	갑옷
töfralampi	magic lamp	마법 램프
ég bjarga	I rescue	구하다
ég sigra	I defeat	무찌르다
more_relationships			18
blint stefnumót	blind date	소개팅
ást við fyrstu sýn	love at first sight	첫눈에 반하다
í ástarsorg	heartbroken	상심
gen	genes	유전자
fjölskyldutré	family tree	가계도
frænka	niece	조카딸
frændi	nephew	조카
mágur	brother-in-law	시아주버님
mágkona	sister-in-law	형수님
tengdamamma	mother-in-law	시어머니
þríburar	triplets	세쌍둥이
altari	altar	제단
rifrildi	argument	논쟁
ætt	dynasty	왕조
guðfaðir	godfather	대부
frændi	uncle	삼촌
við höldumst í hendur	we hold hands	우리는 손을 잡아요
við hættum saman	we break up	우리는 헤어져요
more_body_parts			17
augnlok	eyelid	눈꺼풀
mjóbak	lower back	아랫 등
mittismál	waistline	허리둘레
fingurnögl	fingernail	손톱
hnúi	knuckle	손가락 관절
öxl	shoulder	어깨
brjóst	breast	유방
úlnliður	wrist	손목
kinnar	cheeks	뺨
adamsepli	adam's apple	목젖
tánögl	toenail	발톱
handarkriki	armpit	겨드랑이
kviðvöðvar	abs	복근
kjálki	jaw	턱
nafli	belly button	배꼽
ég sný	I turn	저는 돌아요
ég hyl	I cover	저는 가려요
more_baby			18
barnastóll	high chair	높은 의자
barnakerra	stroller	유모차
barnavagn	pram	유모차
barnabílstóll	carseat	카시트
barnapúður	baby powder	베이비 파우더
barnfóstra	babysitter	보모
stútkanna	sippy cup	빨대 컵
barnamatur	baby food	유아용 음식
brjóstagjöf	breastfeed	젖을 먹이다
ungbarnablanda	infant formula	분유
naghringur	teething ring	치발기
bleyjuútbrot	diaper rash	기저귀 발진
barnaklósettseta	seat reducer	아기용 변좌
barnaburðarpoki	baby carrier	아기띠
bleyjupoki	diaper bag	기저귀 가방
blautþurrkur	baby wipes	아기용 물티슈
við kúrum	we cuddle	저희는 안아요
ég les upphátt	I read aloud	저는 소리내어 읽어요
daily_routines			15
ég greiði hár mitt	I comb my hair	저는 머리를 빗어요
ég stilli vekjarann	I set an alarm	저는 알람을 설정해요
ég vakna	I wake up	저는 일어나요
ég fer í rúmið	I go to bed	저는 잠자러 가요
ég þvæ andlit mitt	I wash my face	저는 세수를 해요
ég fer í vinnu	I go to work	저는 일하러 가요
ég borða hádegismat	I have lunch	저는 점심을 먹어요
ég fer heim	I return home	저는 집으로 돌아가요
ég klára	I finish	저는 끝냈어요
ég fer út með ruslið	I take out the trash	저는 쓰레기를 내다 버려요
ég þurrka hár mitt	I dry my hair	저는 머리를 말려요
ég vafra á netinu	I surf the net	저는 인터넷 서핑을 해요
ég ferðast til og frá vinnu	I commute	저는 통근을 해요
ég bý til kaffi	I make coffee	저는 커피를 만들어요
ég raka mig	I shave	저는 면도를 해요
aches_&_pains			18
eyrnaverkur	earache	귓병
magaverkur	stomachache	복통
bakverkur	backache	요통
marblettur	bruise	멍
þokukennd sjón	blurry vision	흐릿한 시야
stífur háls	stiff neck	뻣뻣한 목
blaðra	blister	물집
varaþurrkur	chapped lips	튼 입술
sólbruni	sunburn	햇볕에 탐
svimar	dizzy	어지러움
óglatt	nauseous	메스꺼운
skordýrabit	insect bite	벌레 물림
verkur	pain	아픔
beinbrot	bone fracture	골절
vöðvabólga	muscle strain	근육 좌상
krampi	cramp	경련
ég annast	I care	저는 돌봐요
það er sárt	it hurts	아프다
illnesses			18
ofnæmi	allergy	알레르기
nefrennsli	runny nose	콧물
astmi	asthma	천식
hár blóðþrýstingur	high blood pressure	고혈압
flensa	flu	독감
sykursýki	diabetes	당뇨병
landlæknir	general surgeon	외과 의사
hjartasérfræðingur	cardiologist	심장병 전문의
barnalæknir	pediatrician	소아과 의사
húðsjúkdómafræðingur	dermatologist	피부과 의사
svæfingarlæknir	anesthiesiologist	마취과 의사
lýtalæknir	plastic surgeon	성형외과 의사
hálstöflur	throat lozenges	인후염용 정제
verkjalyf	pain killer	진통제
vítamín	vitamins	비타민
bóluefni	vaccine	백신
fúkkalyf	antibiotics	항생제
ég skelf	I shiver	저는 떨려요
airport			16
flugvöllur	airport	공항
flugvél	airplane	비행기
innritun	check-in	체크인
flugmiði	flight ticket	비행기 표
vigt	scale	저울
áfangastaður	destination	목적지
aukafarangur	excess baggage	초과 수화물
koma	arrival	도착
brottför	departure	출발
flugfreyja	stewardess	승무원
farþegi	passenger	승객
ferðataska	suitcase	여행 가방
vegabréfaeftirlit	passport control	여권 심사
farangurskerra	luggage cart	수화물 카트
endurheimt farangurs	baggage claim	수화물 찾는 곳
ég ferðast	I travel	저는 여행해요
transportation			17
lest	train	기차
rafknúinn strætisvagn	trolleybus	트롤리 버스
vörubíll	truck	트럭
sendiferðabíll	van	승합차
sporvagn	tram	트램
neðanjarðarlest	underground	지하
vespa	moped	모터 스쿠터
skip	ship	배
mótorhjól	motorcycle	오토바이
þyrla	helicopter	헬리콥터
strætó	bus	버스
bíll	car	차
hjól	bike	자전거
bátur	boat	보트
umferðarteppa	traffic jam	교통체증
ég hjóla	I ride a bicycle	저는 자전거를 타요
ég set niður	I put down	저는 내려놓아요
mobility			17
barnavagn	baby carriage	유모차
ferja	ferry	페리
kláfur	cable car	케이블카
bílskúr	garage	차고
rúllustigi	escalator	에스컬레이터
bílastæði	parking lot	주차장
farþegasæti	passenger seat	조수석
járnbraut	railroad	철도
hlaupahjól	scooter	스쿠터
öryggisbelti	seat belt	안전벨트
neðanjarðarlest	subway	지하철
leigubíll	taxi	택시
miði	ticket	표
umferðarmerki	traffic sign	교통 표지
skott	trunk	트렁크
hjól	wheel	바퀴
hjólastóll	wheelchair	휠체어
traveling			17
bakpokaferðalangur	backpacker	백팩커
háhraðalest	bullet train	고속열차
skemmtiferðaskip	cruise	유람선 여행
inngönguhlið	entry gate	출입문
fjallgöngumaður	hiker	등산객
puttaferðalangur	hitchhiking	히치하이킹
ég pakka	I pack	저는 짐을 싸요
ég renn til	I slip	저는 미끄러져요
vegamót lestarteina	rail crossing	철길 건널목
lestarmiði	rail ticket	기차표
lestarvagn	railroad car	객차
lestarteinar	tracks	철도
miðasjálfsali	ticket machine	표 판매기
leiðsögumaður	tour guide	여행 가이드
ferðamaður	tourist	관광객
ferðalag	travel	여행
vagn	wagon	화물 기차
car			17
rafgeymir	car battery	자동차 배터리
bílaleiga	car rental	렌터카
bílaþvottur	car wash	세차
ökuskírteini	driver's license	운전면허증
bílvél	engine	엔진
gaffallyftari	forklift	지게차
bensíngjöf	gas pedal	가속페달
bensíntankur	gas tank	가스탱크
bílflauta	horn	경적
ég keyri	I drive	저는 운전해요
ég lagfæri	I repair	저는 고쳐요
mótorolía	motor oil	모터 오일
bulla	piston	피스톤
kúpling	shifter	기어 박스
dráttarbíll	tow truck	견인차
dekkjaviðgerð	wheel repair	바퀴 수리
rúðuþurrkur	windshield wipers	와이퍼
railway			18
tímatafla	time table	시간표
lestarpallur	platform	플랫폼
járnbrautarteinar	railroad tracks	기찻길
lestarstjóri	train conductor	기차 안내원
gufuvél	steam engine	증기 기관
fragtlest	freight train	화물 열차
veitingavagn	dining car	식당차
járnbrautamót	junction	교차로
togsnúra	pull cord	당김줄
interrail	interrail	인터레일
farangurshilla	luggage rack	짐 수납칸
upplýsingatafla	information board	안내판
dalbrú	viaduct	구름다리
undirgöng	underground crossing	지하도
laumufarþegi	stowaway	창고
handfang	handhold	손잡이
fer út af sporinu	it derails	탈선하다
ég skipti	I change	저는 변경해요
vehicles			18
slökkviliðsbíll	firetruck	소방차
pallbíll	pickup truck	소형 오픈 트럭
lögreglubíll	police car	경찰차
rafmagnsbíll	electric car	전기 자동차
jepplingur	SUV	스포츠 실용차
blæjubíll	convertible	컨버터블
léttivagn	rickshaw	인력거꾼
sendibíll	minivan	미니밴
jarðýta	bulldozer	불도저
bílaflutningabíll	auto transporter	자동차 수송차
dráttarbíll	towtruck	견인차
ruslabíll	dump truck	덤프 트럭
sviffluga	glider	글라이더
eldflaug	rocket	로켓
einkaþota	business jet	비즈니스 제트기
dróni	drone	드론
ég fer hraðar	I accelerate	저는 가속해요
ég hemla	I brake	저는 브레이크를 밟아요
house			18
baðherbergi	bathroom	화장실
rúm	bed	침대
svefnherbergi	bedroom	침실
stóll	chair	의자
borðstofa	dining room	응접실
hurð	door	문
hús	house	집
eldhús	kitchen	부엌
lampi	lamp	램프
garður	garden	정원
nágranni	neighbor	이웃
skrifstofa	office	사무실
ofn	oven	오븐
ísskápur	refrigerator	냉장고
borð	table	테이블
ég ryksuga	I vacuum	저는 청소기를 돌려요
ég strauja	I iron	저는 다림질을 해요
ég vaska upp	I wash the dishes	저는 설거지를 해요
kitchen			17
ruslatunna	trash can	통
skurðarbretti	cutting board	도마
vatnskrani	faucet	수도꼭지
steikarpanna	frying pan	프라이팬
glas	glass	유리컵
grill	grill	그릴
kanna	jug	병
ketill	kettle	주전자
lok	lid	뚜껑
flysjari	peeler	껍질 벗기는 칼
diskur	plate	그릇
pottur	pot	냄비
niðursuðudós	tin	통
vaskur	sink	싱크대
eldavél	stove	가스레인지
ég sker	I chop	저는 썰어요
ég blanda saman	I mix	저는 섞어요
tools			17
öxi	axe	도끼
bor	drill	드릴
lím	glue	접착제
hamar	hammer	망치
stigi	ladder	사다리
nagli	nail	못
ró	nut	너트
tangir	pliers	펜치
hrífa	rake	갈퀴
rakvélablað	razor	면도기
sög	saw	톱
skrúfa	screw	나사
skrúfjárn	screwdriver	스크류 드라이버
skófla	shovel	삽
skófla	spade	삽
límband	tape	테이프
verkfærabox	toolbox	공구 상자
shelters			17
íbúð	apartment	아파트
strandhús	beach house	해변 별장
kot	cottage	작은집
bóndabær	farmhouse	농가
virki	fortress	요새
húsbátur	houseboat	하우스 보트
kofi	hut	오두막
viti	lighthouse	등대
bjálkakofi	log cabin	통나무집
höfðingjasetur	mansion	대저택
höll	palace	궁전
tjald	tent	텐트
hjólhýsi	trailer	트레일러
tréhús	treehouse	나무 위의 집
einbýlishús	villa	빌라
vindmylla	windmill	풍차
ég byggi	I build	저는 지어요
containers			17
bakpoki	backpack	배낭
tunna	barrel	통
kassi	box	박스
skjalataska	briefcase	서류 가방
fata	bucket	들통
kista	chest	나무 상자
skúffa	drawer	서랍
flaska	flask	플라스크
mappa	folder	폴더
handtaska	handbag	핸드백
krukka	jar	항아리
skápur	locker	사물함
plastpoki	plastic bag	비닐봉투
handtaska	purse	지갑
ferðataska	suitcase	여행 가방
vasi	vase	꽃병
mittistaska	fannypack	힙색
furniture			17
hægindastóll	armchair	안락 의자
bókahilla	bookshelf	책장
skápur	cabinet	캐비닛
teppi	carpet	카페트
uppþvottavél	dishwasher	식기세척기
hurðarhúnn	door handle	문 손잡이
hurðarlás	door lock	문 자물쇠
ljósrofi	light switch	전등 스위치
spegill	mirror	거울
skrifstofustóll	office chair	사무실 의자
koddi	pillow	베개
ofn	radiator	라디에이터
sófi	sofa	소파
veggur	wall	벽
fataskápur	wardrobe	옷장
þvottavél	washing machine	세탁기
gluggi	window	창문
household_items			17
rafmagnsketill	electric kettle	전기 주전자
matvinnsluvél	food processor	식품 가공기
hárblásari	hair dryer	헤어드라이어
ég vel	I choose	저는 선택해요
ég skúra	I mop	저는 닦아요
töfrasproti	immersion blender	블렌더
straujárn	iron	다리미
straubretti	ironing board	다리미판
sláttuvél	lawn mower	잔디 깎는 기계
ljósapera	lightbulb	전구
örbylgjuofn	microwave	전자레인지
eldhúsháfur	exhaust hood	배기 후드
nál	needle	바늘
saumavél	sewing machine	재봉틀
sléttujárn	hair iron	고데기
þráður	thread	실
ryksuga	vacuum cleaner	진공청소기
toilet			17
ilmsprey	air freshener	방향제
skolskál	bidet	비데
handþurrkari	hand dryer	손 건조기
handklæði	hand towel	손수건
ég prumpa	I fart	저는 방귀를 뀌어요
ég pissa	I pee	저는 오줌을 싸요
ég kúka	I poop	저는 똥을 싸요
ólykt	odor	악취
útikamar	outhouse	변소
pípulögn	plumbing	배관
drullusokkur	plunger	배관 청소 용구
kúkur	poop	똥
lykt	smell	냄새
klósettbursti	toilet brush	변기 솔
klósettpappír	toilet paper	화장지
klósettseta	toilet seat	변기 시트
þvagskál	urinal	소변기
more_toilet			17
salernisbás	bathroom stall	화장실 칸막이
klósettrúlluhaldari	toilet paper holder	휴지 걸이
klósettseta	toilet seat cover	변기 커버
tyrkneskt salerni	squatting pan	수세식 변기
niðurfall	drain	배수구
handklæðahengi	towel rack	수건걸이
salernisvörður	bathroom attendant	화장실 청소부
yfirflæði	overflow	넘치다
leki	leak	새다
stíflað niðurfall	clogged drain	막힌 배수구
upptekið	occupied	사용 중
laust	vacant	비어 있음
ég skil setuna eftir uppi	I leave the seat up	저는 변기 덮개를 올려요
ég set setuna niður	I put the seat down	저는 변기 덮개를 내려요
ég sit á hækjum mér	I squat	저는 쪼그려 앉아요
ég sturta niður	I flush	저는 물을 내려요
ég skrúbba	I scrub	저는 문질러요
more_house			17
háaloft	attic	다락
gangur	hallway	복도
geymsluskápur	storage closet	창고
fyrir framan hús	front yard	앞마당
innkeyrsla	driveway	진입로
matarbúr	pantry	식료품 저장실
sólpallur	patio	테라스
svalir	balcony	발코니
þak	roof	지붕
reykháfur	chimney	굴뚝
stofa	living room	거실
dyrabjalla	doorbell	초인종
stigi	stairwell	계단
frárennsli	drainage	배수
dyraþrep	doorstep	문간
ég lofta út	I air out	저는 환기시켜요
ég raða	I arrange	저는 정리해요
more_kitchen			18
mjólkurafurðir	dairy	유제품
hádegismatur	lunch	점심 식사
kvöldmatur	dinner	저녁 식사
snarl	snack	간식
teskeið	teaspoon	티스푼
matskeið	tablespoon	테이블스푼
mæliglas	measuring cup	계량컵
frystir	freezer	냉동고
ísbakki	ice tray	얼음 판
nestisbox	lunchbox	도시락
eggjabakki	egg tray	달걀판
mortél og mortélstautur	mortar and pestle	절구와 절구 공이
ísfata	ice bucket	얼음 양동이
heimtökumatur	takeout	테이크아웃
undirskál	saucer	받침
molar	crumbs	부스러기
kanna	pitcher	물 주전자
korktappi	cork	코르크
more_tools			18
málband	tape measure	줄자
skiptilykill	wrench	렌치
topplykill	socket wrench	소켓 렌치
víraklippur	wire cutters	철사 절단기
þvinga	clamp	꺾쇠
bor	drill bit	드릴 날
hallamál	level	등급
kúbein	crowbar	지렛대
sexkantlykill	allen wrench	앨런 렌치
borðsög	table saw	탁자 톱
sandpappír	sandpaper	사포
vinnuborð	work bench	작업대
sporjárn	chisel	끌
málningarbursti	paint brush	붓을 칠하다
litaspjald	color palette	색 팔레트
ég klára	I complete	저는 완성해요
ég pússa	I sand	저는 갈아요
ég byggi	I construct	저는 건설해요
more_household_items			18
dyrabjalla	doorbell	초인종
kertastjaki	candle holder	촛대
veggskreyting	wall decor	벽 장식
vegghilla	wall shelf	벽 선반
gardínustöng	curtain rod	커튼 봉
djúpsteikingarpottur	fryer	튀김기
pappírsþurrka	paper towel	종이 타월
servíettustandur	napkin holder	냅킨 홀더
þvottakarfa	laundry basket	세탁 바구니
mýkingarefni	laundry detergent	세제
fægiskófla	dustpan	쓰레받기
glerskafa	squeegee	유리닦이
rykbursti	duster	걸레
ruslatunna	trashbin	쓰레기통
gúmmíhanskar	rubber gloves	고무장갑
tuska	rag	헝겊
ég raða	I organize	저는 정리해요
ég strýk af	I wipe	저는 닦아요
gardening			17
rætur	roots	뿌리
ungplöntur	seedlings	묘목
grind	trellis	격자 구조물
garðslanga	garden hose	정원 호스
vökvunarkanna	watering can	물뿌리개
garðklippur	garden shears	원예용 가위
úðari	sprinklers	스프링클러
blómapottur	flower pots	화분
hlújárn	hoe	괭이
illgresiseyðir	weed killer	제초제
einir	juniper	노간주나무
jasmína	jasmine	자스민
vínviður	vine	포도나무
blómi	blossom	꽃
vinnubuxur	dungarees	둥가리
ég hlúi að	I treat	저는 대해요
ég klippi til	I prune	저는 가지치기를 해요
hotel			15
hótel	hotel	호텔
starfsmaður í ræstingu	housekeeper	하우스키퍼
gistiaðstaða	accommodation	숙소
lykilkort	key card	키 카드
herbergisþjónusta	room service	룸 서비스
öryggishólfið	the safe	금고
sturta	shower	샤워
herbergi	room	방
loftkæling	air conditioner	에어컨
bjöllustrákur	bellboy	벨보이
gestur	guest	손님
lykill	key	키
lyfta	elevator	엘리베이터
gestamóttaka	reception	리셉션
starfsmaður í gestamóttöku	receptionist	리셉션 담당
shopping			18
hraðbanki	ATM machine	ATM 기계
peningaseðill	banknote	지폐
mynt	coin	동전
afsláttarmiði	coupon	쿠폰
kreditkort	credit card	신용카드
gjaldmiðill	currency	화폐
viðskiptavinur	customer	고객
innkaupakarfa	shopping basket	장바구니
gjaldkeri	cashier	캐셔
veski	wallet	지갑
dollari	dollar	달러
evra	euro	유로
afgreiðslumaður	shop assistant	가게 직원
búð	shop	가게
peningur	money	돈
ég vinn	I win	저는 이겨요
ég fer út	I exit	저는 나가요
ég kaupi	I buy	저는 사요
city			18
banki	bank	은행
krá	bar	바
brú	bridge	다리
strætóstoppistöð	bus stop	버스 정류장
kastali	castle	성
kirkjugarður	cemetery	묘지
diskó	disco	디스코
gangbraut	crosswalk	횡단보도
gatnamót	crossroad	교차로
þvottahús	laundry	세탁소
almenningsgarður	park	공원
umferðarljós	traffic light	신호등
lestarstöð	train station	기차역
gosbrunnur	fountain	분수
dómkirkja	cathedral	성당
ég hræki	I spit	저는 침을 뱉어요
ég sker	I cut	저는 잘라요
ég geng	I walk	저는 걸어요
buildings			18
kirkja	church	교회
bensínstöð	gas station	주유소
bókasafn	library	도서관
verksmiðja	factory	공장
safn	museum	박물관
skýjakljúfur	skyscraper	고층 건물
leikhús	theater	극장
kaffihús	cafe	카페
pósthús	post office	우체국
sjúkrahús	hospital	병원
apótek	pharmacy	약국
lögreglustöð	police station	경찰서
skemmtigarður	theme park	놀이공원
skóli	school	학교
kjötbúð	butcher shop	정육점
ég fer	I leave	저는 떠나요
ég toga	I pull	저는 당겨요
ég ýti	I push	저는 밀어요
navigation			17
á bak við	behind	뒤에
á milli	between	사이에
miðja	center	가운데
horn	corner	구석
átt	direction	방향
fjarlægð	distance	거리
hérna	here	여기
vinstri	left	왼쪽
andstæða	opposite	반대쪽
hægri	right	오른쪽
vegur	road	도로
beint áfram	straight ahead	직진
gata	street	거리
þarna	there	거기
ég geng upp stigann	I climb the stairs	저는 계단을 올라가요
ég sýni	I show	저는 보여줘요
ég horfi	I watch	저는 봐요
more_city			17
bílslys	car accident	교통사고
bekkur	bench	벤치
reiðhjólastæði	bike rack	자전거 주차
auglýsingaskilti	billboard	게시판
tannlæknir	dentist	치과의사
girðing	fence	울타리
slökkvilið	fire station	소방서
líkamsræktarstöð	gym	체육관
farfuglaheimili	hostel	호스텔
stöðumælir	parking meter	주차 요금 징수기
fangelsi	prison	감옥
stytta	statue	조각상
upplýsingamiðstöð ferðamanna	tourist information	관광 안내
ráðhús	town hall	시청
háskóli	university	대학교
dýragarður	zoo	동물원
ég hrópa	I shout	저는 소리를 쳐요
shops			16
bakarí	bakery	빵집
rakari	barber	이발사
snyrtistofa	beauty salon	미용실
reiðhjólabúð	bike shop	자전거 가게
bókabúð	book shop	서점
sælkerabúð	confectionery	제과점
stórverslun	department store	백화점
fiskbúð	fishmonger	생선장수
blómabúð	florist	꽃장수
matarmarkaður	greengrocery	채소 가게
hárgreiðslustofa	hairdresser	미용사
skartgripabúð	jewelry	보석류
lyklasmiður	key smith	열쇠 제조자
gleraugnaverslun	optician	안경사
klæðskeri	tailor	재단사
tóbaksverslun	tobacco shop	담배 가게
post_office			17
heimilisfang	address	주소
flugpóstur	airmail	항공우편
hjólasendill	bike messenger	바이크 메신저
umslag	envelope	편지 봉투
bréf	letter	편지
póstbíll	mail truck	우편 배달차
pósthólf	mailbox	우편함
pakkaþjónusta	parcel service	택배
póstkort	postcard	엽서
bréfberi	postman	우체부
forgangspóstur	priority mail	우선 취급 우편
endursendur póstur	returned mail	반송 우편
innsigli	seal	봉하다
sendandi	sender	발송자
undirskrift	signature	서명
frímerki	stamp	우표
þyngd	weight	무게
hospital			17
blóð	blood	피
hækja	crutch	목발
læknisskoðun	examination	진찰
hjartsláttur	heartbeat	심장박동
ég hósta	I cough	저는 기침을 해요
ég bíð	I wait	저는 기다려요
innrennsli	infusion	수액
sjúkrakostnaður	medical bill	병원비
sjúkraskrá	medical record	진료 기록
sjúklingur	patient	환자
innlögn	patient admission	환자 입원
púls	pulse	맥박
sprauta	syringe	주사기
hlustunarpípa	stethoscope	청진기
sjúkrabörur	stretcher	들것
skurðlæknir	surgeon	외과 의사
röntgenmyndataka	x-ray	엑스레이
more_buildings			18
vatnsturn	water tower	급수탑
söluturn	kiosk	매점
turn	tower	탑
rústir	ruins	폐허
mylla	mill	방앗간
ráðstefnumiðstöð	convention center	컨벤션 센터
brugghús	brewery	양조장
baðhús	bathhouse	목욕탕
mótel	motel	모텔
pagóða	pagoda	탑
umferðarmiðstöð	bus station	버스 승강장
háskólalóð	campus	캠퍼스
indjánatjald	tepee	티피
hringleikahús	amphitheater	원형 극장
ráðhús	city hall	시청
víngerð	winery	포도주 양조장
ég kem inn	I enter	저는 들어가요
ég brýt niður	I demolish	저는 철거해요
signs			17
brattur vegur	steep road	가파른 길
hættulegt efni	hazardous materials	유해 물질
stöðvunarmerki	stop sign	정지 신호
óviðkomandi bannaður aðgangur	no trespassing	입산 금지
líffræðileg hætta	biohazard	생물학적 위험
